comment_score,Positive,Negative
1893,0.0,1.0
2016,1.0,0.0
2110,0.0,1.0
2787,1.0,1.0
4538,1.0,1.0
8906,0.0,1.0
948,0.0,1.0
1021,0.0,0.75
1452,0.0,1.0
1731,0.0,1.0
1805,0.5,1.0
2026,0.0,0.6666666666666666
8550,1.0,1.0
157,0.20261437908496732,0.934640522875817
1048,0.5,1.0
1330,0.0,0.6666666666666666
1347,0.5,1.0
2059,0.0,1.0
2261,0.0,1.0
3432,0.0,1.0
3474,0.5,0.0
3781,0.0,1.0
5940,0.0,1.0
6925,0.0,1.0
-101,0.3076923076923077,0.6923076923076923
-15,0.32863187588152326,0.81311706629055
124,0.2807017543859649,0.8991228070175439
181,0.2571428571428571,0.8285714285714286
363,0.2,1.0
586,0.2,0.8
843,0.25,1.0
1135,0.4,0.8
1149,0.0,1.0
1323,0.0,0.8
1368,1.0,1.0
1441,0.3333333333333333,1.0
1535,0.0,1.0
1712,0.0,1.0
1858,0.0,1.0
2097,0.0,1.0
3464,0.0,1.0
3481,0.0,1.0
5706,0.0,0.0
-112,0.07692307692307693,0.6153846153846154
-88,0.25,0.8333333333333334
686,0.16666666666666666,0.8333333333333334
852,0.6666666666666666,1.0
1016,0.5,1.0
1238,0.0,1.0
1777,0.0,1.0
1795,0.0,1.0
1810,0.0,1.0
2373,0.0,1.0
3605,0.0,1.0
3846,0.5,1.0
4494,0.0,1.0
-149,0.3333333333333333,1.0
-71,0.2647058823529412,0.8235294117647058
95,0.2572944297082228,0.9230769230769231
227,0.21875,0.875
268,0.3617021276595745,0.9361702127659575
562,0.35714285714285715,0.9285714285714286
589,0.15384615384615385,1.0
699,0.2222222222222222,1.0
925,0.6666666666666666,1.0
1246,0.0,1.0
1833,1.0,1.0
3098,0.0,1.0
3574,1.0,1.0
-202,1.0,1.0
-194,0.0,1.0
369,0.15151515151515152,0.9696969696969697
413,0.2857142857142857,0.8571428571428571
455,0.21052631578947367,0.9473684210526315
760,0.375,0.75
820,0.4,1.0
912,0.0,1.0
915,0.0,1.0
1395,0.0,0.5
1721,1.0,1.0
3569,1.0,1.0
71,0.24486571879936808,0.8830963665086888
143,0.2625,0.875
370,0.20689655172413793,0.8620689655172413
621,0.5714285714285714,0.8571428571428571
642,0.25,0.875
703,0.3333333333333333,1.0
704,0.1,1.0
790,0.25,1.0
1274,0.0,1.0
1902,1.0,1.0
1960,0.0,1.0
2346,0.0,1.0
2555,0.0,1.0
2903,1.0,0.0
3914,0.0,1.0
6501,0.0,1.0
-45,0.30158730158730157,0.7698412698412699
161,0.24285714285714285,0.9071428571428571
193,0.25925925925925924,0.9012345679012346
365,0.34615384615384615,0.9230769230769231
443,0.2608695652173913,0.8695652173913043
1191,0.0,1.0
1429,0.0,1.0
1669,1.0,0.5
2101,0.0,1.0
3232,0.0,1.0
3534,0.0,0.0
3942,0.0,1.0
-197,0.0,1.0
6,0.2523442921932246,0.8933165480398328
68,0.24649859943977592,0.9033613445378151
342,0.13333333333333333,0.9333333333333333
466,0.2857142857142857,0.7142857142857143
713,0.09090909090909091,1.0
1012,0.6666666666666666,0.6666666666666666
1242,0.0,0.5
1520,0.2,1.0
2186,0.0,1.0
2394,0.0,1.0
2498,0.0,1.0
4456,0.0,0.0
72,0.2453125,0.8828125
87,0.26548672566371684,0.9314159292035398
215,0.18309859154929578,0.9577464788732394
756,0.0,0.8
1608,0.0,1.0
2027,1.0,1.0
-181,0.3333333333333333,0.3333333333333333
-133,0.0,0.6666666666666666
-119,0.6,0.8
58,0.25411522633744854,0.8991769547325102
255,0.26153846153846155,0.9076923076923077
258,0.22807017543859648,0.8947368421052632
320,0.21212121212121213,0.8484848484848485
665,0.36363636363636365,0.9090909090909091
854,0.2,1.0
883,0.25,1.0
1098,0.0,1.0
1773,0.0,1.0
2207,0.0,1.0
4632,0.0,1.0
-104,0.29411764705882354,0.7647058823529411
107,0.2391304347826087,0.9254658385093167
221,0.27631578947368424,0.9342105263157895
266,0.16326530612244897,0.9183673469387755
271,0.18867924528301888,0.9056603773584906
424,0.25,0.8
882,0.0,1.0
997,0.0,1.0
1124,0.25,1.0
1150,0.0,1.0
1817,0.5,0.5
1862,0.0,1.0
1898,0.0,1.0
2164,0.0,1.0
3779,0.0,1.0
5737,0.0,1.0
6216,1.0,1.0
6611,0.0,1.0
-96,0.3,0.6
9,0.24944492413963243,0.8950598248427285
316,0.17647058823529413,1.0
407,0.16666666666666666,0.9583333333333334
554,0.3333333333333333,0.9166666666666666
744,0.2,1.0
789,0.2222222222222222,1.0
897,0.0,1.0
920,0.0,1.0
968,0.2,1.0
1476,1.0,0.5
1675,0.0,1.0
2076,0.0,1.0
2365,0.0,1.0
2418,0.0,1.0
3174,0.0,1.0
4442,0.0,1.0
5403,0.0,1.0
-24,0.3373493975903614,0.8364888123924269
27,0.24538080216313654,0.9001802613789995
63,0.2599502487562189,0.9216417910447762
158,0.2446043165467626,0.8992805755395683
389,0.09090909090909091,0.9545454545454546
397,0.25,0.9375
447,0.18181818181818182,0.9545454545454546
754,0.25,1.0
796,0.2,1.0
856,0.0,0.6666666666666666
933,0.3333333333333333,1.0
959,0.0,0.5
1516,1.0,1.0
1531,0.8,0.8
1570,0.0,1.0
1693,0.0,1.0
2255,0.0,1.0
2281,0.5,0.5
2760,0.0,1.0
-169,0.0,0.5
51,0.25917252146760345,0.912568306010929
56,0.25475285171102663,0.9077946768060836
1267,0.0,1.0
2553,0.0,1.0
2743,0.0,1.0
2864,0.0,1.0
3093,1.0,1.0
3261,0.0,1.0
3836,0.0,1.0
5186,0.0,1.0
8825,0.0,1.0
9392,0.0,1.0
178,0.25203252032520324,0.9512195121951219
353,0.15789473684210525,0.8947368421052632
702,0.375,0.875
1164,0.5,1.0
1739,0.0,0.5
3042,0.5,1.0
-136,0.0,0.0
234,0.2602739726027397,0.9315068493150684
239,0.2833333333333333,0.9333333333333333
341,0.2692307692307692,0.9615384615384616
610,0.14285714285714285,1.0
891,0.2,0.8
1437,1.0,0.0
1923,0.0,0.5
3905,1.0,1.0
150,0.2658959537572254,0.9421965317919075
279,0.23404255319148937,0.8936170212765957
574,0.3333333333333333,1.0
1514,0.0,1.0
1800,0.5,0.5
1955,0.0,1.0
2037,0.0,1.0
2985,0.0,1.0
3318,0.0,1.0
3758,0.0,1.0
7074,0.0,1.0
52,0.2354368932038835,0.901294498381877
146,0.2127659574468085,0.8652482269503546
346,0.25,0.90625
546,0.2,0.9333333333333333
608,0.3,1.0
694,0.14285714285714285,1.0
1263,0.0,1.0
1307,0.0,1.0
1328,1.0,1.0
1762,1.0,1.0
1987,0.0,1.0
2219,0.0,1.0
2415,0.0,1.0
16520,1.0,0.0
-77,0.2571428571428571,0.8
-47,0.3865546218487395,0.7815126050420168
446,0.3157894736842105,0.9473684210526315
459,0.11764705882352941,0.9411764705882353
577,0.5,1.0
585,0.36363636363636365,0.7272727272727273
861,0.14285714285714285,1.0
1046,0.5,1.0
1103,0.0,1.0
1253,0.5,1.0
2114,0.0,0.0
2140,0.0,1.0
2567,0.0,1.0
3029,0.0,1.0
3809,0.0,1.0
4301,0.0,1.0
5281,0.0,1.0
6099,0.0,1.0
-245,1.0,1.0
174,0.23728813559322035,0.9067796610169492
712,0.3333333333333333,0.8888888888888888
825,1.0,1.0
946,0.3333333333333333,1.0
2018,0.0,1.0
2412,0.0,1.0
2579,0.0,1.0
-121,0.25,0.75
-86,0.34782608695652173,0.9565217391304348
-82,0.3103448275862069,0.8275862068965517
17,0.253473206691239,0.8961345808524714
79,0.22867513611615245,0.9056261343012704
170,0.3055555555555556,0.9259259259259259
209,0.2222222222222222,0.9012345679012346
661,0.6,0.8
1060,1.0,1.0
1342,0.5,1.0
1346,1.0,1.0
1453,0.0,1.0
2107,0.0,1.0
2786,0.0,1.0
-36,0.3160377358490566,0.8066037735849056
103,0.264,0.9146666666666666
236,0.25,0.875
253,0.2982456140350877,0.9473684210526315
675,0.42857142857142855,0.8571428571428571
738,0.0,1.0
989,0.0,1.0
1116,0.5,1.0
1484,0.0,1.0
1629,0.0,1.0
1896,0.0,1.0
2338,0.0,1.0
9679,0.0,1.0
-16,0.2997694081475788,0.8216756341275941
276,0.24489795918367346,0.9387755102040817
509,0.5555555555555556,1.0
592,0.2222222222222222,1.0
1250,0.0,0.75
1287,1.0,0.0
1334,1.0,1.0
2755,0.0,1.0
-178,0.5,0.75
-170,1.0,1.0
